POS.NORMAL	POS.TUMOR	POS.NORMAL.1	POS.TUMOR.1	NEG.TUMOR	NEG.NORMAL	NEG.TUMOR.1	POS.NORMAL.2	POS.TUMOR.2	POS.TUMOR.3	POS.NORMAL.3	NEG.NORMAL.1	NEG.TUMOR.2	NEG.NORMAL.2	NEG.TUMOR.3	NEG.NORMAL.3	NEG.TUMOR.4	POS.NORMAL.4	POS.TUMOR.4	POS.TUMOR.5	POS.NORMAL.5	POS.TUMOR.6	NEG.NORMAL.4	NEG.TUMOR.5	NEG.NORMAL.5	NEG.NORMAL.6	NEG.TUMOR.6	NEG.NORMAL.7	NEG.TUMOR.7	NEG.TUMOR.8	POS.NORMAL.6	POS.TUMOR.7	POS.NORMAL.7	POS.NORMAL.8	POS.TUMOR.8	POS.TUMOR.9	POS.TUMOR.10	POS.NORMAL.9	POS.NORMAL.10	POS.TUMOR.11	NEG.TUMOR.9	NEG.TUMOR.10	NEG.NORMAL.8	NEG.TUMOR.11	NEG.NORMAL.9	NEG.NORMAL.10	NEG.TUMOR.12	POS.TUMOR.12	NEG.NORMAL.11	NEG.TUMOR.13	POS.TUMOR.13	POS.NORMAL.11	POS.NORMAL.12	POS.TUMOR.14	NEG.NORMAL.12	NEG.TUMOR.14	POS.NORMAL.13	POS.TUMOR.15	POS.NORMAL.14	POS.TUMOR.16	POS.TUMOR.17	NEG.TUMOR.15	NEG.TUMOR.16	NEG.NORMAL.13	POS.TUMOR.18	NEG.TUMOR.17	NEG.NORMAL.14	NEG.NORMAL.15	NEG.TUMOR.18	NEG.TUMOR.19	POS.TUMOR.19	POS.NORMAL.15	POS.TUMOR.20	POS.NORMAL.16	NEG.NORMAL.16	NEG.TUMOR.20	POS.NORMAL.17	POS.TUMOR.21	POS.NORMAL.18	POS.TUMOR.22	NEG.NORMAL.17	NEG.TUMOR.21	NEG.NORMAL.18	NEG.TUMOR.22	NEG.NORMAL.19	NEG.TUMOR.23	POS.TUMOR.23	NEG.NORMAL.20	NEG.TUMOR.24	POS.NORMAL.19	POS.TUMOR.24	NEG.TUMOR.25	NEG.NORMAL.21	NEG.TUMOR.26	NEG.NORMAL.22	NEG.TUMOR.27	NEG.NORMAL.23	NEG.TUMOR.28	POS.NORMAL.20	POS.TUMOR.25	POS.NORMAL.21	POS.TUMOR.26	POS.NORMAL.22	POS.TUMOR.27	POS.TUMOR.28	POS.TUMOR.29	POS.NORMAL.23	POS.TUMOR.30
C03819	25996.1175	114752.615555556	33376.83	33413.49	242799.02	53352.7	45595.31	29545.966	17100.56	31547.35	39724.9833333333	23721.59	40580.2	112416.8	83808.6	34633.51	66971.62	37740.8033333333	20474.0433333333	33903.01	27628.7	33302.07	32130.2155555556	77932.024	14672.23	21126.69	42522.0477777778	62509.22	328726.83	49288.17	34028.24	40713.63	20592.67	13747.66	17520.55	22009.51	69417.07375	34081.76	30873.9966666667	22603.58	371317.23	56850.2	29797.36	37977.382	58175.89	94443.1	344423.02	32633.9	33818.1925	23738.54	33413.49	29946.07	33524.91	46456.6642857143	35306.9866666667	329445.12	33300.1042857143	28784.53	33782.95	62707.25375	28504.03	75311.13	28460.5066666667	32432.29	31408.85	32786	22615.915	34215.7775	433319	21002.72	47510.59	30759.565	64338.3775	37584.38	16864.55	119432.82	59658.344	83566.3	33096.37	35247.63	27762.78	103671.63	36497.6	66090.29	27323.29	28403.61	59541.33375	31475.71	48490.88	30992.08	37507.24	83639.48	22527.83	57474.6588888889	52476.71	95503.62	25699.7133333333	19549.7	28238.73	36697.02	87074.2133333333	46175.2211111111	48425.2266666667	23097.16	36813.04	63608.78	17921.22	45140.609
C02918	24939.09	109819.69	71440.01	185000.21	193026.45	94471.26	129716.03	29492.255	182187.76	425703.66	71440.01	39477.5	130390.59	98122.57	342118.29	23047.95	119723	46680.07	29343	134241.81	42120.79	333310.11	65981.2	235933.4	46811.78	18850.88	85518.93	14307.05	174935.04	137779.18	35081.27	177946.08	38401.71	43926.24	58598.4	54931.54	92532.71	40594.98	33245.41	196059.85	745011.08	91288.53	19343.73	145920.15	63213.52	350329.03	309941.05	145301.96	60578.88	280876.91	30945.68	47341.03	32110.4416666667	34455.43	40308.15	411164.9	11908.72	23148.77	47157.19	132603.92	71440.01	279805.79	82356.41	52435.26	92345.16	72971.21	29587.86	16319.61	124561.37	50246.18	106322.34	38821.515	89398.17	119439.33	33167.55	43596.23	57809.45	315137.45	36505.9	131733.33	28683.8	122912.92	33036.69	123907.72	58355.25	138224.95	103656.95	52007.5	333176.5	28435.26	76898.82	100535.36	41217.27	126137.36	51206.28	449894.72	32999.23	104862.34	22813.87	149344.7	58644.4	79406.49	45012.25	148782.7	133832.75	254126.06	63001.39	69387.74
C03916	62594.207	393447.09	80080.9365	106041.34	3678588.61	69666.6501666667	131493.25	74482.3408	73411.18	109608.78	27600.89	88965.86	120151.54	134723.34225	895597.22	105176.93	71645.21	33851.5998571428	20843.822	71953.3683333333	60535.4974285714	286467.03	45477.886125	528209.91	30694.68	12094.88	39837.41	72993.3123333333	90328.26	655337.63	36820.69	377120.95	42434.0443333333	41477.0275	154003.103875	69488.0798571429	193815.51	107304.62	30702.07	66638.68	1305900.85	94736.2614444444	41320.8775	58827.8671	87711.1647777778	293151.93	814841.83	135126.15	53397.39	132430.1	67290.2503333333	37783.3568571429	140121.92	25126.07	40385.9521666667	581811.72	48284.0775	54335.16325	105942.571777778	16423.8	558603.4	250712.909777778	23283.99	44079.2504285714	67151.99	75979.55	26980.6	43904.68325	351724.6	73211.261	46303.0147142857	32620.5053333333	89116.99	38249.1556	38636.6206666667	1438440.74	114391.93	1514327.17	32551.755	47809.7	69272.3056	565220.29	52053.4421	2080411.07	65615.87325	436691.46	52451.91	62652.87	319655.52	40053.6146	31282.3	755930.93	45069.151	214365.76	73646.28	435869.48	15474.905	377152.52	30970.0775	41360.72	29075.59	183453.45	32342.25	339214.56	149818.88	26347.59	25148.64	69269.842
C04102	49247.53	3392199.22	233592.074125	1006804.03	14434438.62	107447.35	642999.84	149095.5668	798869.95	335907.21	10450.7	91874.7	243359.97	49608.12	4993703.47	186694.71	130880.75	77576.71	53750.8616	46955.65	152006.017285714	709203.7	189918.369222222	2785436.9	50292.07	113067.77	202420.76	35660.19	153460.28	860669.73	186800.04	3538223.88	60949.88	17126.23	561047.207875	20396.18	590839.73	151033.67	76230.6155	218350.77	2286519.55	38528.67	18945.1	48497.13	231222.9785	2516300.06	4351615.49	315688.46	188369.91	766339.76	108695.18	58454.8	219939.76	53899.74	94597.7921666667	1299382.61	26590.46	15588.18	183846.1	193870.32	1204569.37	1533647.345	164614.08	22418.21	483959.82	73652.66	73897.3024	59807.5982857143	2933573.12	149946.941666667	13491.35	60242.504125	201283.33	29884.26	37623.76	8597685.11	236628.36	2842355.08	31250.78	352896.4	45495.2	5313373.68	207439.261111111	5051528.28	198145.54	2335275.02	125955.46	181203.57	687711.57	48978.24	157055.68	1314957.09	94540.0346666667	2474296.04	198145.54	1409339.49	60202.0502	782545.69	26921.73	248966.72	120428.775666667	328476.06	59734.29	796547.9	2446046.47	1277419.4484	43065.07	167319.92
C01885	24076.66	132101.01	74279.388	85883.97	190430.82	32521.6205	419020.57	25940.9633333333	94036.53	99720.6611	64862.03	40540.57	54604.73	47779.55	180601.01	49427.8	47817.6674	20227	23759.8	64302.2978	17734.18	79240.97	28110.3633333333	253718.68	34764.346	15888.95	21382.57	35772.39	80675.08	149654.65	28076.048	63427.92	30697.9172857143	30532.3366666667	87874.9708	51356.5675	57568.83	41269.0188888889	10713.99	36292.3817	294441.71	38755.516	26312.7433333333	71912.67	46210.5927	82141.34	114068.83	72190.33	22693.64	281530.63	24622.33	29435.97	31891.432	48941.435125	34726.482	468271.62	13468.96	19134.45	52232.4742857143	154803.49	153662.88	116984.69	33174.935	26994.5785714286	55267.8072222222	25390.48	21652.755	35118.91	255992.6	164295.49	54227.01125	25315.0335	161703.45	44249.075	51868.516	476471.58	49650.316	409766.55	27206.296	31093	13346.95	58666.21	32890.67	355264.79	24756.6075	23104.39	50506.71	49437.7985714286	205289.48	26055.89	54158.4623	167763.01	18643.28	120080.08	22565.37	106281.39	29846.99	79485.79	36521.2025	49083.1697	49151.55	72571.06	35313.3742857143	413469.34	129993.46	58979.75	21163.17	50963.78125
C07326	21107.995	42383.16	40217.006	29123.2609	18996.41	25305.51	41841.15	19237.4433333333	28616.93	34962.74	36222.96	13704.4806666667	50744.43	18949.4233333333	32580.5963333333	54067.07	33357.87	28123.31	15989.055	30630.12	29199.41	35893.01	16787.81	36357.86	25369.55	17719.1666666667	26634.93	31514.33	22528.95	34962.74	23663.13	30013.87	33623.01	16807.615	29344.1	17356.73	43010.28	18206.02	18860.58	21843.24	43157.6	34934.88	19617.04	43652.71	38832.96	68498.43	60441.28	38506.49	17675.68	36302.47	42284.12	20254.58	18907.0646	50257.36	18603.87625	54916.51	18182.95	12643.7	51202.59	34990.6	27309.3	76612.03	24185.64	19612.555	60961.1114285714	31876.59	654732.114429824	19136.795	47201.09	49868.13	35791.67	25065.4325	58462.971625	20366.1025	16819.7533333333	25641.32	48535.98	65871.1184	24014.8066666667	19232.9	24330.09	58794.7	26987.633375	24293.44	15112.7	36864.1	28243.67	24603.4825	34402.44	19243.33	17525.39	46375.2345555556	21500.065	39481.4373333333	24486.977	22715.79	17714.0766666667	25477.78	13034.23	39776.09	27687.9675	32168.2328333333	28343.38	47194.79	39138.8442857143	47065.45	25649.1195	31910.41
C00307	78104.0196666667	351822.534	6949.076	360309.985	676079.654	68733.474	799164.164	62836.6717142857	95996.941	1190368.889	48354.542	64046.404	182069.967	109156.079857143	725994.604	74299.8433333333	119079.143	40762.7088	56734.762	138030.372	109972.211555556	105224.902444444	92266.0366666667	1138236.846	66882.4142857143	109297.86875	145358.969777778	88279.3166666667	222720.642	317555.642	15934.494	187254.364	149644.833333333	64816.747	340488.449857143	47561.719	58319.271	98277.05	141043.435	128623.416	6071075.962	183724.777875	97122.1	38243.629	123718.487777778	430353.196	848577.43	177847.408	148548.958571429	611542.987	17071.037	86338.7555714286	81183.3051666667	125338.675714286	77147.5816666667	3653260.251	57565.0408571428	60407.22	196342.71875	157938.89	104188.8679	126061.556	73899.468	40146.33	53667.322	24681.249	174249.32	74663.8582857143	522359.89	131809.072857143	54423.609	217569.6175	580242.401	224135.641	63871.05	95003.576	95543.1396	1115228.071	100244.785714286	30210.93	12788.45	67719.636	104515.227222222	2494379.469	28996.71	85792.68	326142.348	177357.83625	1835689.188	87821.76	82598.516	385075.015	13197.922	289991.115	44058.171	598879.028	39158.944	133807.813	149530.4012	29436.505	116625.47	49703.603	93734.2901111111	888288.845	349597.855	356475.103	102059.360777778	168595.572857143
C04555	43436.4	97215.9577777778	59138.22	34796.35	94139.494	56068.44	29737.24	36088.97	116156.46	38304.56	34063.18	47752.736	56441.19	34843.076	17665.67	1876468.06	144407.7	11418.14	72386.69	91030.5888888889	79550.87	19703.87	233964.49	57555.93	45413.68	29068.38	125667.404	49505.8133333333	26771.67	134397.1925	24396.42	82045.41	25498.88	49276.1483333333	17693.55	58340.77	2155948.3	46361.8011111111	61581.83	26247.35	22277.4	35401.06	20142.26	38304.56	50075.79	46558.52	19491.32	23153.43	21766.22	245710.215	140550.03	37315.92	45956.6225	54536.54	34756.1316666667	292651.234	840048.04	160612.05	34154.09	140452.5	568590.23	117932.14	18336.06	30916.058	85001.581	31943.54	81739.9725	37604.865	40920.76	93824.27	78638.59	42395.4325	170398.988571429	16540.82	18749.86	41816.57	77413.31	12419.34	40520.14	557296.84	34413.07	32703.06	43803.38	12475.28	260073.77	65500.94	159332.732	61855.6216666667	46961.24	109181.975	63111.7614285714	147989.964285714	51088.695	85072.6433333333	43052.52	57919.9	29781.52	32587.13	56672.882	20907.26	30738.1	864001.8	14945.83	13959.86	35156.11	174540.754	16740.28	55356.5333333333
C01181	25703.61	359584.82	112089.51	155342.66	747866.18	66071.03	487636.34	51280.36	286214.96	115379.32	137249.04	92194.23	140871.39	92008.8755714286	313120.01	79530.69	97396.21	39658.06	38024.778	251248.98	125247.66	42712.05	40893.48	722349.05	12421.76	16297.88	129276.57	22351.94	263221.38	375159.52	47154.07	408794.86	100063.68	86650.58	58696.54	123929.07	167294.67	107091.03	53195.4925	178934.27	245754.63	95558.27	28755.2	149183.04	100063.68	246946.67	430646.96	173323.32	58799.67	650779.6	175505.32	88008.04	120130.76	80203.25	74307.45	290555	84884.08	40039.57	95098.47	357707.18	191855.54	460474.32	17159.72	78420.03	208988.2	104898.96	148722.3	29085.2	768325.05	80975.71	17681.35	38895	560998.09	25554.05	30615.24	4550183.36	107533.97	139205.63	22683.57	73273.27	109817.64	439209.17	44029.78	315555.45	53774.38	79918.93	382164.52	28892.67	203664.76	34701.1	452163.74	501114.08	32567.46	208386.52	133697.75	175179.6	10294.88	148532.09	25237.76	104569.09	32417.49	135827.91	29226.58	343892	317428.18	944357.92	15618.15	14365.37
C03242	126375	7148278.2	1461449.5	4313272.9	20753618.9	1105382.5	23621499.8	197866.9	1642549.6	2386199.7	789258.8	423446	3088704	184181.1	20633034.6	810973.5	1356497.4	402842.5	205406.9	1288980.1	1136388.3	2101482	552711	21383495.9	645873.5	588769.3	3918008.3	396601.8	8829735.3	5363254.9	771002.6	4372933.1	557572.8	286713.2	1651407.7	943000.2	1613351.1	1189215.8	143625.8	1225157.7	32192427.4	959415.9	121355.5	1454471.9	839289.4	15526800.9	19411185.6	1815055	560081.9	26206534.5	1503041.2	734138.3	417649	628372.4	280441.7	20680742.1	228630.7	299915.6	441169.9	1734483.2	2559218.9	15635782.3	1433476.7	945929.9	1352224.4	1202131	121237.4	147124.5	18994415.3	387578.7	778071.1	121996.7	2725816.1	1457388	701858.7	30308077.3	3359912	15548713.9	1436821.1	838297.2	1098091	7137109.7	1225157.7	25715908.1	498560.2	1673127.4	2451904	1793399.3	6180738.3	189526.8	1548537.6	15510709.7	425140.8	11305175.9	1145083.8	9102967.8	324396.5	1427841.6	290514.5	3206810.1	320953.8	1639656.6	769491.4	8316597	7039970	2042184.9	1042361.4	1639795.1
