name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
Biotin metabolism	3	1	2.12	0.84	0.066	0.33	2.69	0.0454	51.8	1	Customised	HLCS	HLCS	BTD, HLCS, OXSM	BTD, HLCS, OXSM
Citrate cycle (TCA cycle)	30	9	1.91	2.17	0.012	0.13	2.34	0.934	5.41	1	Customised	ACLY, FH, IDH2, MDH1, MDH2, OGDHL, PDHA1, SDHB, SDHC	ACLY, FH, IDH2, MDH1, MDH2, OGDHL, PDHA1, SDHB, SDHC	ACLY, ACO1, ACO2, CS, DLAT, DLD, DLST, FH, IDH1, IDH2, IDH3A, IDH3B, IDH3G, MDH1, MDH2, OGDH, OGDHL, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, SDHA, SDHB, SDHC, SDHD, SUCLA2, SUCLG1, SUCLG2	ACLY, ACO1, ACO2, CS, DLAT, DLD, DLST, FH, IDH1, IDH2, IDH3A, IDH3B, IDH3G, MDH1, MDH2, OGDH, OGDHL, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, SDHA, SDHB, SDHC, SDHD, SUCLA2, SUCLG1, SUCLG2
Cysteine and methionine metabolism	51	18	2.25	3.9	0.00012	0.0049	3.07	1.6	5.71	1	Customised	AHCY, AMD1, CBS, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLM, GOT2, GSS, LDHA, LDHB, MDH1, MDH2, PHGDH, PSAT1, SMS, SRM	AHCY, AMD1, CBS, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLM, GOT2, GSS, LDHA, LDHB, MDH1, MDH2, PHGDH, PSAT1, SMS, SRM	ADI1, AGXT2, AHCY, AHCYL1, AHCYL2, AMD1, APIP, BCAT1, BCAT2, BHMT, BHMT2, CBS, CDO1, CTH, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLC, GCLM, GOT1, GOT1L1, GOT2, GSS, IL4I1, KYAT1, KYAT3, LACC1, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LOC102724560, MAT1A, MAT2A, MAT2B, MDH1, MDH2, MPST, MRI1, MTAP, MTR, PHGDH, PSAT1, SDS, SDSL, SMS, SRM, TAT, TST	ADI1, AGXT2, AHCY, AHCYL1, AHCYL2, AMD1, APIP, BCAT1, BCAT2, BHMT, BHMT2, CBS, CDO1, CTH, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLC, GCLM, GOT1, GOT1L1, GOT2, GSS, IL4I1, KYAT1, KYAT3, LACC1, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LOC102724560, MAT1A, MAT2A, MAT2B, MDH1, MDH2, MPST, MRI1, MTAP, MTR, PHGDH, PSAT1, SDS, SDSL, SMS, SRM, TAT, TST
Glutathione metabolism	57	14	1.56	1.87	0.025	0.19	1.79	0.89	3.39	1	Customised	CHAC1, CHAC2, GCLM, GGCT, GGT1, GSS, GSTP1, IDH2, PGD, PRDX6, RRM1, RRM2, SMS, SRM	CHAC1, CHAC2, GCLM, GGCT, GGT1, GSS, GSTP1, IDH2, PGD, PRDX6, RRM1, RRM2, SMS, SRM	ANPEP, CHAC1, CHAC2, G6PD, GCLC, GCLM, GGCT, GGT1, GGT5, GGT6, GGT7, GPX1, GPX2, GPX3, GPX4, GPX5, GPX6, GPX7, GPX8, GSR, GSS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTK1, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, HPGDS, IDH1, IDH2, LANCL1, LAP3, MGST1, MGST2, MGST3, NAT8, ODC1, OPLAH, PGD, PRDX6, RRM1, RRM2, RRM2B, SMS, SRM, TXNDC12	ANPEP, CHAC1, CHAC2, G6PD, GCLC, GCLM, GGCT, GGT1, GGT5, GGT6, GGT7, GPX1, GPX2, GPX3, GPX4, GPX5, GPX6, GPX7, GPX8, GSR, GSS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTK1, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, HPGDS, IDH1, IDH2, LANCL1, LAP3, MGST1, MGST2, MGST3, NAT8, ODC1, OPLAH, PGD, PRDX6, RRM1, RRM2, RRM2B, SMS, SRM, TXNDC12
Glycosaminoglycan biosynthesis - keratan sulfate	14	4	1.82	1.33	0.055	0.3	2.16	0.491	7.57	1	Customised	B3GNT7, B4GALT2, B4GALT3, CHST6	B3GNT7, B4GALT2, B4GALT3, CHST6	B3GNT2, B3GNT7, B4GALT1, B4GALT2, B4GALT3, B4GALT4, CHST1, CHST2, CHST4, CHST6, FUT8, ST3GAL1, ST3GAL2, ST3GAL3	B3GNT2, B3GNT7, B4GALT1, B4GALT2, B4GALT3, B4GALT4, CHST1, CHST2, CHST4, CHST6, FUT8, ST3GAL1, ST3GAL2, ST3GAL3
Glycosphingolipid biosynthesis - lacto and neolacto series	27	8	1.89	2	0.018	0.16	2.3	0.861	5.57	1	Customised	B3GNT4, B3GNT5, B4GALT2, B4GALT3, FUT3, FUT9, GCNT2, ST3GAL6	B3GNT4, B3GNT5, B4GALT2, B4GALT3, FUT3, FUT9, GCNT2, ST3GAL6	A4GALT, ABO, B3GALNT1, B3GALT1, B3GALT2, B3GALT5, B3GNT2, B3GNT3, B3GNT4, B3GNT5, B4GALT1, B4GALT2, B4GALT3, B4GALT4, FUT1, FUT2, FUT3, FUT4, FUT5, FUT6, FUT7, FUT9, GCNT2, ST3GAL3, ST3GAL4, ST3GAL6, ST8SIA1	A4GALT, ABO, B3GALNT1, B3GALT1, B3GALT2, B3GALT5, B3GNT2, B3GNT3, B3GNT4, B3GNT5, B4GALT1, B4GALT2, B4GALT3, B4GALT4, FUT1, FUT2, FUT3, FUT4, FUT5, FUT6, FUT7, FUT9, GCNT2, ST3GAL3, ST3GAL4, ST3GAL6, ST8SIA1
Glyoxylate and dicarboxylate metabolism	30	7	1.49	1.16	0.085	0.36	1.65	0.592	4.02	1	Customised	ACAT2, GCSH, GLDC, MDH1, MDH2, PGP, SHMT2	ACAT2, GCSH, GLDC, MDH1, MDH2, PGP, SHMT2	ACAT1, ACAT2, ACO1, ACO2, ACSS1, ACSS2, AFMID, AGXT, AMT, CAT, CS, DLD, GCSH, GLDC, GLUL, GLYCTK, GRHPR, HAO1, HAO2, HOGA1, HYI, MCEE, MDH1, MDH2, MMUT, PCCA, PCCB, PGP, SHMT1, SHMT2	ACAT1, ACAT2, ACO1, ACO2, ACSS1, ACSS2, AFMID, AGXT, AMT, CAT, CS, DLD, GCSH, GLDC, GLUL, GLYCTK, GRHPR, HAO1, HAO2, HOGA1, HYI, MCEE, MDH1, MDH2, MMUT, PCCA, PCCB, PGP, SHMT1, SHMT2
Lysine degradation	63	14	1.41	1.45	0.057	0.3	1.56	0.784	2.93	1	Customised	AADAT, ACAT2, DHTKD1, EHMT2, EZH2, KMT2B, KMT5A, NSD2, PLOD1, PLOD3, SETDB1, SMYD2, SUV39H1, SUV39H2	AADAT, ACAT2, DHTKD1, EHMT2, EZH2, KMT2B, KMT5A, NSD2, PLOD1, PLOD3, SETDB1, SMYD2, SUV39H1, SUV39H2	AADAT, AASS, ACAT1, ACAT2, ALDH1B1, ALDH2, ALDH3A2, ALDH7A1, ALDH9A1, ASH1L, BBOX1, CAMKMT, COLGALT1, COLGALT2, DHTKD1, DLD, DLST, DOT1L, ECHS1, EHHADH, EHMT1, EHMT2, EZH1, EZH2, GCDH, HADH, HADHA, HYKK, KMT2A, KMT2B, KMT2C, KMT2D, KMT2E, KMT5A, KMT5B, KMT5C, MECOM, NSD1, NSD2, NSD3, PHYKPL, PIPOX, PLOD1, PLOD2, PLOD3, PRDM16, PRDM2, PRDM6, PRDM7, PRDM9, SETD1A, SETD1B, SETD2, SETD7, SETDB1, SETDB2, SETMAR, SMYD1, SMYD2, SMYD3, SUV39H1, SUV39H2, TMLHE	AADAT, AASS, ACAT1, ACAT2, ALDH1B1, ALDH2, ALDH3A2, ALDH7A1, ALDH9A1, ASH1L, BBOX1, CAMKMT, COLGALT1, COLGALT2, DHTKD1, DLD, DLST, DOT1L, ECHS1, EHHADH, EHMT1, EHMT2, EZH1, EZH2, GCDH, HADH, HADHA, HYKK, KMT2A, KMT2B, KMT2C, KMT2D, KMT2E, KMT5A, KMT5B, KMT5C, MECOM, NSD1, NSD2, NSD3, PHYKPL, PIPOX, PLOD1, PLOD2, PLOD3, PRDM16, PRDM2, PRDM6, PRDM7, PRDM9, SETD1A, SETD1B, SETD2, SETD7, SETDB1, SETDB2, SETMAR, SMYD1, SMYD2, SMYD3, SUV39H1, SUV39H2, TMLHE
Mannose type O-glycan biosynthesis	23	7	1.94	1.95	0.019	0.16	2.38	0.821	6.2	1	Customised	B3GALNT2, B3GAT1, B4GALT2, B4GALT3, FUT9, LARGE2, MGAT5B	B3GALNT2, B3GAT1, B4GALT2, B4GALT3, FUT9, LARGE2, MGAT5B	B3GALNT2, B3GAT1, B3GAT2, B4GALT1, B4GALT2, B4GALT3, B4GAT1, CHST10, CRPPA, FKRP, FKTN, FUT4, FUT9, LARGE1, LARGE2, MGAT5B, POMGNT1, POMGNT2, POMK, POMT1, POMT2, RXYLT1, ST3GAL3	B3GALNT2, B3GAT1, B3GAT2, B4GALT1, B4GALT2, B4GALT3, B4GAT1, CHST10, CRPPA, FKRP, FKTN, FUT4, FUT9, LARGE1, LARGE2, MGAT5B, POMGNT1, POMGNT2, POMK, POMT1, POMT2, RXYLT1, ST3GAL3
N-Glycan biosynthesis	50	14	1.78	2.42	0.0072	0.09	2.15	1.05	4.15	1	Customised	ALG2, ALG3, B4GALT2, B4GALT3, DDOST, DOLPP1, DPAGT1, DPM1, MGAT4B, MGAT5B, MOGS, RPN1, RPN2, STT3A	ALG2, ALG3, B4GALT2, B4GALT3, DDOST, DOLPP1, DPAGT1, DPM1, MGAT4B, MGAT5B, MOGS, RPN1, RPN2, STT3A	ALG1, ALG10, ALG10B, ALG11, ALG12, ALG13, ALG14, ALG2, ALG3, ALG5, ALG6, ALG8, ALG9, B4GALT1, B4GALT2, B4GALT3, DAD1, DDOST, DOLK, DOLPP1, DPAGT1, DPM1, DPM2, DPM3, FUT8, GANAB, MAN1A1, MAN1A2, MAN1B1, MAN1C1, MAN2A1, MAN2A2, MGAT1, MGAT2, MGAT3, MGAT4A, MGAT4B, MGAT4C, MGAT4D, MGAT5, MGAT5B, MOGS, RPN1, RPN2, SRD5A3, ST6GAL1, ST6GAL2, STT3A, STT3B, TUSC3	ALG1, ALG10, ALG10B, ALG11, ALG12, ALG13, ALG14, ALG2, ALG3, ALG5, ALG6, ALG8, ALG9, B4GALT1, B4GALT2, B4GALT3, DAD1, DDOST, DOLK, DOLPP1, DPAGT1, DPM1, DPM2, DPM3, FUT8, GANAB, MAN1A1, MAN1A2, MAN1B1, MAN1C1, MAN2A1, MAN2A2, MGAT1, MGAT2, MGAT3, MGAT4A, MGAT4B, MGAT4C, MGAT4D, MGAT5, MGAT5B, MOGS, RPN1, RPN2, SRD5A3, ST6GAL1, ST6GAL2, STT3A, STT3B, TUSC3
